param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_483_pop_0,2810.19,1.000
q_ind_484_pop_0,5218.25,1.001
q_ind_485_pop_0,3523.22,1.000
q_ind_486_pop_0,4574.83,1.000
q_ind_487_pop_0,2531.42,1.001
q_ind_488_pop_0,1333.54,1.000
q_ind_489_pop_0,718.68,1.000
q_ind_490_pop_0,2839.03,1.000
q_ind_491_pop_0,4226.25,1.000
q_ind_492_pop_0,8.53,1.014
q_ind_493_pop_0,861.57,1.003
q_ind_494_pop_0,119.16,1.007
q_ind_495_pop_0,4898.41,1.002
q_ind_496_pop_0,5042.96,1.000
q_ind_497_pop_0,2262.15,1.000
q_ind_498_pop_0,4895.90,1.000
q_ind_499_pop_0,7103.61,1.000
q_ind_500_pop_0,5322.43,1.000
q_ind_501_pop_0,7627.66,1.000
q_ind_502_pop_0,1610.45,1.000
q_ind_503_pop_0,6668.97,1.001
q_ind_504_pop_0,5091.48,1.000
q_ind_505_pop_0,3579.72,1.001
q_ind_506_pop_0,3933.92,1.000
q_ind_507_pop_0,3044.43,1.000
q_ind_508_pop_0,6565.89,1.000
q_ind_509_pop_0,3187.61,1.000
q_ind_510_pop_0,3051.76,1.000
q_ind_511_pop_0,3156.71,1.000
q_ind_512_pop_0,5654.55,1.000
q_ind_513_pop_0,6079.47,1.000
q_ind_514_pop_0,4710.85,1.000
q_ind_515_pop_0,3824.83,1.000
q_ind_516_pop_0,4836.55,1.000
q_ind_517_pop_0,5624.66,1.000
q_ind_518_pop_0,5748.08,1.000
q_ind_519_pop_0,54.24,1.018
q_ind_520_pop_0,2158.13,1.000
q_ind_521_pop_0,207.84,1.003
q_ind_522_pop_0,3853.54,1.001
q_ind_523_pop_0,8325.93,1.000
q_ind_524_pop_0,5021.53,1.000
q_ind_525_pop_0,6527.18,1.000
q_ind_526_pop_0,7118.40,1.000
q_ind_527_pop_0,4134.93,1.000
q_ind_528_pop_0,4680.19,1.000
q_ind_529_pop_0,4109.37,1.000
q_ind_530_pop_0,7861.94,1.000
q_ind_531_pop_0,5556.21,1.000
q_ind_532_pop_0,7111.96,1.000
q_ind_533_pop_0,5786.80,1.001
q_ind_534_pop_0,5600.66,1.000
q_ind_535_pop_0,6897.20,1.001
q_ind_536_pop_0,5354.91,1.000
q_ind_537_pop_0,7468.88,1.001
q_ind_538_pop_0,7282.75,1.000
q_ind_539_pop_0,6025.22,1.000
q_ind_540_pop_0,7875.62,1.000
q_ind_541_pop_0,6415.30,1.000
q_ind_542_pop_0,4955.86,1.000
q_ind_543_pop_0,5670.40,1.001
q_ind_544_pop_0,6051.02,1.000
q_ind_545_pop_0,4535.51,1.000
q_ind_546_pop_0,2236.12,1.001
q_ind_547_pop_0,993.63,1.001
q_ind_548_pop_0,2360.94,1.000
q_ind_549_pop_0,4286.57,1.001
q_ind_550_pop_0,2107.98,1.000
q_ind_551_pop_0,3771.94,1.000
q_ind_552_pop_0,225.44,1.004
q_ind_553_pop_0,98.05,1.021
q_ind_554_pop_0,2591.42,1.000
q_ind_555_pop_0,416.00,1.006
q_ind_556_pop_0,1378.12,1.000
q_ind_557_pop_0,5619.85,1.001
q_ind_558_pop_0,3010.54,1.003
q_ind_559_pop_0,2663.91,1.000
q_ind_560_pop_0,171.93,1.005
q_ind_561_pop_0,1996.74,1.003
q_ind_562_pop_0,963.41,1.002
q_ind_563_pop_0,138.43,1.011
q_ind_564_pop_0,543.29,1.002
q_ind_565_pop_0,3187.99,1.002
q_ind_566_pop_0,2690.34,1.000
q_ind_567_pop_0,690.36,1.002
q_ind_568_pop_0,5850.35,1.000
q_ind_569_pop_0,216.19,1.006
q_ind_570_pop_0,129.16,1.005
q_ind_571_pop_0,1019.00,1.003
q_ind_572_pop_0,1650.58,1.002
q_ind_573_pop_0,269.22,1.011
q_ind_574_pop_0,1167.34,1.002
q_ind_575_pop_0,79.07,1.037
q_ind_576_pop_0,862.88,1.000
q_ind_577_pop_0,1454.85,1.002
q_ind_578_pop_0,1768.68,1.001
q_ind_579_pop_0,3360.31,1.001
q_ind_580_pop_0,711.11,1.002
q_ind_581_pop_0,3813.40,1.000
q_ind_582_pop_0,2305.36,1.001
q_ind_583_pop_0,618.77,1.004
q_ind_584_pop_0,2307.60,1.000
q_ind_585_pop_0,1881.11,1.003
q_ind_586_pop_0,4615.04,1.000
q_ind_587_pop_0,1998.31,1.000
q_ind_588_pop_0,1106.34,1.007
q_ind_589_pop_0,194.21,1.001
q_ind_590_pop_0,4652.18,1.000
q_ind_591_pop_0,1742.71,1.000
q_ind_592_pop_0,368.70,1.007
q_ind_593_pop_0,146.38,1.028
q_ind_594_pop_0,2307.93,1.000
q_ind_595_pop_0,409.72,1.002
q_ind_596_pop_0,2531.62,1.000
q_ind_597_pop_0,858.70,1.001
q_ind_598_pop_0,338.32,1.000
q_ind_599_pop_0,6013.92,1.001
q_ind_600_pop_0,2321.96,1.002
q_ind_601_pop_0,61.80,1.038
q_ind_602_pop_0,825.00,1.001
q_ind_603_pop_0,1244.64,1.000
q_ind_604_pop_0,3091.47,1.000
q_ind_605_pop_0,3377.39,1.000
q_ind_606_pop_0,1088.53,1.005
q_ind_607_pop_0,971.66,1.004
q_ind_608_pop_0,228.75,1.009
q_ind_609_pop_0,1344.97,1.000
q_ind_610_pop_0,4486.96,1.000
q_ind_611_pop_0,2970.12,1.000
q_ind_612_pop_0,2759.34,1.000
q_ind_613_pop_0,3824.24,1.000
q_ind_614_pop_0,7316.72,1.001
q_ind_615_pop_0,7006.61,1.000
q_ind_616_pop_0,5227.18,1.001
q_ind_617_pop_0,4279.62,1.000
q_ind_618_pop_0,6147.31,1.000
q_ind_619_pop_0,2948.99,1.001
q_ind_620_pop_0,604.66,1.002
q_ind_621_pop_0,4604.99,1.000
q_ind_622_pop_0,4598.12,1.002
q_ind_623_pop_0,4565.55,1.000
q_ind_624_pop_0,2358.21,1.001
q_ind_625_pop_0,3904.41,1.001
q_ind_626_pop_0,122.88,1.048
q_ind_627_pop_0,5355.96,1.000
q_ind_628_pop_0,6545.60,1.000
q_ind_629_pop_0,1840.51,1.000
q_ind_630_pop_0,355.45,1.001
q_ind_631_pop_0,3841.66,1.000
q_ind_632_pop_0,5138.66,1.001
q_ind_633_pop_0,43.74,1.000
q_ind_634_pop_0,2630.46,1.002
q_ind_635_pop_0,4044.98,1.001
q_ind_636_pop_0,3402.37,1.000
q_ind_637_pop_0,308.31,1.000
q_ind_638_pop_0,3667.49,1.000
q_ind_639_pop_0,4489.82,1.000
q_ind_640_pop_0,7042.64,1.001
q_ind_641_pop_0,4078.68,1.000
q_ind_642_pop_0,2670.92,1.001
q_ind_643_pop_0,7233.06,1.000
q_ind_644_pop_0,4697.74,1.001
q_ind_645_pop_0,6522.80,1.000
q_ind_646_pop_0,4744.91,1.001
q_ind_647_pop_0,3314.49,1.000
q_ind_648_pop_0,2041.24,1.002
q_ind_649_pop_0,2701.14,1.000
q_ind_650_pop_0,4805.24,1.000
q_ind_651_pop_0,8154.14,1.001
q_ind_652_pop_0,8377.87,1.000
q_ind_653_pop_0,3729.78,1.000
q_ind_654_pop_0,1682.84,1.001
q_ind_655_pop_0,5744.77,1.000
q_ind_656_pop_0,5985.00,1.000
q_ind_657_pop_0,2356.38,1.000
q_ind_658_pop_0,2136.29,1.000
q_ind_659_pop_0,935.64,1.001
q_ind_660_pop_0,280.63,1.002
q_ind_661_pop_0,76.10,1.015
q_ind_662_pop_0,3203.92,1.000
q_ind_663_pop_0,5770.12,1.000
q_ind_664_pop_0,4893.18,1.000
q_ind_665_pop_0,622.03,1.003
